Name,Type,Address,City,State,Zip Code,Accepts Food Donations?,Website,Unique ID,Latitude,Longitude,Approximate distance,x,y
Maranatha,Food Pantry,3121 Jim Lee Road,Tallahassee,FL,32301,,maranathasda.org/here-to-serve-you/,,30.405741,-84.263395,0 km,-9380158.179,3555811.464
Lake Jackson United Methodist,Food Pantry,4423 N. Monroe Street,Tallahassee,FL,32303,No,fightinghunger.org/find-a-food-pantry/,,30.516153,-84.345537,0 km,-9389302.218,3570070.489
Philadelphia Foundation For Community Change,Food Pantry,840 Dunn Street,Tallahassee,FL,32304,No,fightinghunger.org/find-a-food-pantry/,,30.450102,-84.297120,0 km,-9383912.518,3561538.512
St. Paul Ame Tallahassee,Food Pantry,9469 Road To The Lake,Tallahassee,FL,32317,No,fightinghunger.org/find-a-food-pantry/,,30.434218,-84.120795,0 km,-9364284.098,3559487.495
Greater Love Cogic,Food Pantry,East Orange Avenue,Tallahassee,FL,32301,,,,30.410949,-84.236165,0 km,-9377126.983,3556483.571
Feeding Tampa Bay,Food Bank,4702 Transport Dr,Tampa,FL,33605,,feedingtampabay.org/,,27.959272,-82.406802,0 km,-9173483.194,3243839.923
Most Holy Redeemer Church,Food Pantry,10110 North Central Avenue,Tampa,FL,33612,Yes,www.mostholyredeemertampa.org,,28.041120,-82.457039,0 km,-9179075.627,3254159.058
American Veterans Post #4,Food Pantry,1014 Skipper Road,Tampa,FL,33613,No,amvetspost4tampa.org,,28.080820,-82.449443,0 km,-9178230,3259167.106
Exciting Central Tampa Baptist,Food Pantry,105 East Keyes Ave,Tampa,FL,33602,,feedingtampabay.org/findfood,,27.970368,-82.460425,0 km,-9179452.477,3245238.335
Svdp--St. Peter Claver,Food Pantry,1203 North Nebraska Ave,Tampa,FL,33602,No,spclavertampa.wixsite.com/spcchurch/calendar,,27.955398,-82.450797,0 km,-9178380.76,3243351.711
Svdp -- West Hillsborough,Food Pantry,12310 North Nebraska Avenue,Tampa,FL,33612,Yes,www.svdptampa.org/f_pantries.htm,,28.059819,-82.451620,0 km,-9178472.398,3256517.629
St Paul's SVDP Food Pantry,Food Pantry,12708 North Dale Mabry Highway,Tampa,FL,33618,Yes,www.stpaulchurch.com/130,,28.063091,-82.504673,0 km,-9184378.186,3256930.465
Northgate Baptist Church Food Pantry,Food Pantry,1301 West Linebaugh Avenue,Tampa,FL,33612,,myngbc.com/ministries/food-pantry,,28.040282,-82.471595,0 km,-9180695.96,3254053.391
Acts 29 Focus,Food Pantry,13302 Lynn Turner Rd,Tampa,FL,33625,No,lftampa.org,,28.079457,-82.541816,0 km,-9188512.926,3258995.211
Crosswind Church,Food Pantry,1510 W Hillsborough Ave,Tampa,FL,33603,No,crosswind.org/who-we-are/,,27.995465,-82.475233,0 km,-9181100.985,3248402.042
Metropolitan Ministries,Food Pantry,2002 North Florida Avenue,Tampa,FL,33602,,www.metromin.org/get-help/#food,,27.963395,-82.459695,0 km,-9179371.203,3244359.482
Bay Chapel Food Pantry,Food Pantry,20303 Trout Creek Drive,Tampa,FL,33647,,www.baychapel.com/,,28.164558,-82.354280,0 km,-9167636.525,3269736.612
Tampa Deliverance Ministry,Food Pantry,2918 North 29th Street,Tampa,FL,33605,No,feedingtampabay.org/findfood,,27.966900,-82.435369,0 km,-9176663.345,3244801.215
